iter	Passed	Remaining
0	140	139984
1	142	70880
2	143	47809
3	145	36257
4	147	29353
5	148	24662
6	150	21325
7	151	18803
8	153	16944
9	155	15437
10	157	14125
11	159	13092
12	160	12193
13	162	11450
14	164	10790
15	166	10233
16	167	9704
17	169	9235
18	170	8825
19	172	8467
20	175	8161
21	176	7862
22	178	7592
23	180	7343
24	181	7096
25	184	6912
26	186	6705
27	187	6508
28	189	6332
29	190	6169
30	192	6006
31	193	5852
32	195	5715
33	196	5583
34	197	5453
35	200	5356
36	201	5246
37	202	5134
38	204	5038
39	206	4944
40	207	4861
41	209	4786
42	211	4705
43	213	4632
44	215	4566
45	217	4503
46	218	4432
47	220	4368
48	221	4292
49	222	4235
50	224	4181
51	225	4117
52	228	4074
53	229	4023
54	231	3971
55	233	3930
56	235	3889
57	236	3843
58	238	3803
59	240	3769
60	242	3729
61	244	3694
62	245	3657
63	247	3614
64	249	3584
65	250	3540
66	252	3514
67	254	3481
68	255	3448
69	257	3423
70	259	3393
71	261	3371
72	262	3331
73	263	3302
74	265	3272
75	266	3239
76	268	3214
77	269	3190
78	271	3165
79	273	3142
80	275	3120
81	276	3094
82	278	3071
83	279	3051
84	281	3029
85	282	3005
86	283	2979
87	285	2960
88	287	2945
89	289	2925
90	291	2915
91	293	2894
92	294	2875
93	297	2866
94	299	2849
95	300	2830
96	302	2816
97	304	2798
98	306	2785
99	307	2770
100	310	2761
101	311	2746
102	313	2728
103	315	2716
104	317	2705
105	319	2690
106	321	2685
107	323	2671
108	324	2656
109	326	2642
110	327	2625
111	329	2612
112	331	2600
113	332	2586
114	334	2573
115	335	2556
116	337	2544
117	338	2531
118	340	2517
119	342	2509
120	343	2498
121	345	2487
122	348	2483
123	349	2471
124	351	2461
125	353	2450
126	355	2440
127	357	2432
128	358	2423
129	360	2413
130	363	2408
131	364	2399
132	366	2388
133	368	2380
134	370	2372
135	373	2369
136	375	2362
137	376	2352
138	377	2340
139	379	2332
140	381	2323
141	383	2314
142	384	2305
143	386	2300
144	388	2293
145	390	2285
146	392	2276
147	393	2267
148	396	2261
149	397	2253
150	399	2246
151	400	2236
152	402	2227
153	403	2218
154	405	2211
155	406	2200
156	408	2194
157	409	2182
158	411	2175
159	412	2167
160	414	2157
161	415	2148
162	416	2139
163	418	2132
164	420	2125
165	421	2119
166	423	2113
167	425	2105
168	426	2097
169	428	2090
170	430	2084
171	431	2075
172	432	2069
173	434	2062
174	435	2055
175	437	2049
176	440	2046
177	441	2038
